0,1,2,3,4,5,Y
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.9
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.85
7.17962963,-0.421851852,7.17962963,0.235185185,0.483383326,112.559,0.8
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.82
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.7
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.76
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.63
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.72
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.65
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.73
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.62
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.79
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.85
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.76
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.71
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.79
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.64
7.419274074,0.042592593,7.419274074,0.042592593,0.642051393,329.906,0.69
7.354699074,-0.066782407,7.354699074,0.066782407,0.648140806,235.906,0.68
7.405324074,-0.176157407,7.405324074,0.042592593,0.648140806,235.906,0.69
7.508449074,-2.790650983,7.508449074,0.062268519,0.655546972,187.036,0.6
7.547824074,-2.773150983,7.547824074,0.095231481,0.67715712,234.036,0.65
10.45477702,-0.905925926,10.45477702,0.086296296,0.434646983,249.007,0.7
10.44191988,-0.923425926,10.44191988,0.071203704,0.517656504,202.007,0.67
10.4141421,-0.961234568,10.4141421,0.411481481,0.463602103,157.556,0.59
12.39212963,-4.870925926,12.39212963,0.115185185,0.635454222,272.007,0.87
12.35149471,-4.926234568,12.35149471,0.612962963,0.574415672,180.556,0.81
12.41335412,-4.835725926,12.41335412,0.263032407,0.635454222,272.007,0.78
12.35804548,-4.91537037,12.35804548,0.736419753,0.574415672,180.556,0.76
8.321759259,-0.492512808,8.321759259,0.031046863,0.509358555,257.13,0.61
8.218837396,-0.511172525,8.218837396,0.022337963,0.509358555,257.13,0.62
7.832291667,-0.456368103,7.832291667,0.033449074,0.618554873,207.07,0.59
7.97744272,-0.420372732,7.97744272,0.015169648,0.7039555,312.004,0.48
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.65
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.67
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.8
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.71
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.89
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.8
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.76
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.63
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.71
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.66
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.7
7.264699074,-0.367407407,7.264699074,0.105092593,0.542045009,157.01,0.65
7.304074074,-0.342207407,7.304074074,0.137407407,0.568417094,204.01,0.61
